what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416073682690
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1416073682690
java.vm.specification.version,sysinfo,,,"1.0",1416073682690
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1416073682690
java.vm.version,sysinfo,,,"14.0-b16",1416073682690
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1416073689865
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1416073692798
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1416073692985
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1416073692985
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416073693032
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416073694280
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416073694296
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1416073694342
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416073709615
error,log,,,"SOPC design not set.",1416073710597
error,log,,,"CPU module not set.",1416073710597
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1416073710613
error,log,,,"CPU architecture type not set. ",1416073710613
error,log,,,"CPU master group not set.",1416073710613
error,log,,,"SOPC design not set.",1416073710613
error,log,,,"CPU module not set.",1416073710613
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1416073710613
error,log,,,"CPU architecture type not set. ",1416073710613
error,log,,,"CPU master group not set.",1416073710613
error,log,,,"SOPC design not set.",1416073710644
