what,kind,bundleId,bundleVersion,description,time
error,log,,,"SOPC design not set.",1414683206639
error,log,,,"CPU module not set.",1414683206639
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1414683206655
error,log,,,"CPU architecture type not set. ",1414683206655
error,log,,,"CPU master group not set.",1414683206655
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1414683206670
started,bundle,com.altera.debug.cdi.gdb.plugin,10.1.0.153,"com.altera.debug.cdi.gdb.plugin",1414683206686
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414683206811
error,log,,,"Target is broken and needs to be reset",1414683207638
error,log,,,"SOPC design not set.",1414683207700
error,log,,,"CPU module not set.",1414683207716
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1414683207716
error,log,,,"CPU architecture type not set. ",1414683207731
error,log,,,"CPU master group not set.",1414683207731
error,log,,,"Connected system ID hash not found on target at expected base address.",1414683207747
error,log,,,"Connected system timestamp not found on target at expected base address.",1414683207747
error,log,,,"Connected system ID hash not found on target at expected base address.",1414683207762
error,log,,,"Connected system timestamp not found on target at expected base address.",1414683207778
error,log,,,"Connected system ID hash not found on target at expected base address.",1414683207825
error,log,,,"Connected system timestamp not found on target at expected base address.",1414683207825
error,log,,,"Connected system ID hash not found on target at expected base address.",1414683208714
error,log,,,"Connected system timestamp not found on target at expected base address.",1414683208714
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414683215999
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414683249654
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414683250792
