what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1414784894609
error,log,,,"CPU architecture type not set. ",1414784894614
error,log,,,"CPU master group not set.",1414784894620
opened,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1414784895929
error,log,,,"sun.awt.X11.XlibWrapper",1414784896020
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414784896186
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1414784896264
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1414784896272
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414784940051
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414784940815
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414784942760
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414784944542
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414784945342
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1414785008425
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1414785010841
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414785020813
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1414785020837
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414785022194
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1414785025346
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.format",1414785026932
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1414785028353
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414785032016
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414785032166
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1414785116903
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1414785123152
