what,kind,bundleId,bundleVersion,description,time
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403627
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403627
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403627
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403643
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403643
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403643
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403643
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403658
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403674
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403674
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403674
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403690
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403690
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403690
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403690
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403705
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403721
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403736
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403736
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403752
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919403752
error,log,,,"No ELF file path has been selected.",1415919406123
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919406123
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1415919406123
error,log,,,"No ELF file path has been selected.",1415919406154
