what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1414763722325
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1414763722325
java.vm.specification.version,sysinfo,,,"1.0",1414763722325
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1414763722325
java.vm.version,sysinfo,,,"14.0-b16",1414763722325
started,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1414763722746
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1414763727458
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1414763740796
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1414763740796
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414763754929
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414763784765
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414763785343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414763786481
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1414763786606
error,log,,,"The proxied handler for 'com.altera.sbtgui.project.commands.SystemConsoleHandler' could not be loaded",1414763787027
error,log,,,"The proxied handler for 'com.altera.sbtgui.project.commands.SystemConsoleHandler' could not be loaded",1414763787043
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1414763787090
stopped,bundle,com.altera.debug.cdi.gdb.plugin,10.1.0.153,"com.altera.debug.cdi.gdb.plugin",1414763787090
stopped,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1414763787105
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1414763787105
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1414763787105
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.200909110608,"org.eclipse.cdt.dsf.ui",1414763787105
stopped,bundle,com.altera.sbtgui.ui,10.1.0.153,"com.altera.sbtgui.ui",1414763787105
stopped,bundle,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project",1414763787105
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1414763787105
