what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416069521354
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416069521369
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416069526502
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416069530636
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416069531307
error,log,,,"SOPC design not set.",1416069531369
error,log,,,"CPU module not set.",1416069531369
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1416069531369
error,log,,,"CPU architecture type not set. ",1416069531369
error,log,,,"CPU master group not set.",1416069531369
error,log,,,"SOPC design not set.",1416069531478
error,log,,,"CPU module not set.",1416069531478
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1416069531478
error,log,,,"CPU architecture type not set. ",1416069531478
error,log,,,"CPU master group not set.",1416069531478
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1416069531572
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1416069534615
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1416069540390
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1416069604648
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416069649530
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416069650887
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416069650996
error,log,,,"The proxied handler for 'com.altera.sbtgui.project.commands.SystemConsoleHandler' could not be loaded",1416069651121
error,log,,,"The proxied handler for 'com.altera.sbtgui.project.commands.SystemConsoleHandler' could not be loaded",1416069651121
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1416069651152
