what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU architecture type not set. ",1416072575380
error,log,,,"CPU master group not set.",1416072575380
error,log,,,"Connected system ID hash not found on target at expected base address.",1416072575380
started,bundle,com.altera.debug.cdi.gdb.plugin,10.1.0.153,"com.altera.debug.cdi.gdb.plugin",1416072575390
error,log,,,"SOPC design not set.",1416072575419
error,log,,,"CPU module not set.",1416072575419
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1416072575420
error,log,,,"CPU architecture type not set. ",1416072575420
error,log,,,"CPU master group not set.",1416072575420
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416072575480
error,log,,,"SOPC design not set.",1416072575527
error,log,,,"CPU module not set.",1416072575528
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1416072575528
error,log,,,"CPU architecture type not set. ",1416072575528
error,log,,,"CPU master group not set.",1416072575528
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416072616502
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416072617854
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1416072618751
error,log,,,"SOPC design not set.",1416072618794
error,log,,,"CPU module not set.",1416072618796
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1416072618798
error,log,,,"CPU architecture type not set. ",1416072618798
error,log,,,"CPU master group not set.",1416072618798
error,log,,,"SOPC design not set.",1416072618896
error,log,,,"CPU module not set.",1416072618896
